NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
17,@subscribebos,"Strategi el rumi bagus, simpen tenaga di akhir ronde, nichole tabrakk terusss , yg akhirnya habis tenaga di akhir ronde, babak 3 dan 4 banyak yg ngelose punch nya 🎉🎉🎉",Positif,"strategi el rumi bagus, simpen tenaga di akhir ronde, nichole tabrakk terusss , yg akhirnya habis tenaga di akhir ronde, babak 3 dan 4 banyak yg ngelose punch nya 🎉🎉🎉","['strategi', 'el', 'rumi', 'bagus', ',', 'simpen', 'tenaga', 'di', 'akhir', 'ronde', ',', 'nichole', 'tabrakk', 'terusss', ',', 'yg', 'akhirnya', 'habis', 'tenaga', 'di', 'akhir', 'ronde', ',', 'babak', '3', 'dan', '4', 'banyak', 'yg', 'ngelose', 'punch', 'nya', '🎉🎉🎉']","['strategi', 'el', 'rumi', 'bagus', 'simpen', 'tenaga', 'ronde', 'nichole', 'tabrakk', 'terusss', 'yg', 'habis', 'tenaga', 'ronde', 'babak', 'yg', 'ngelose', 'punch', 'nya']","['strategi', 'el', 'rumi', 'bagus', 'simpen', 'tenaga', 'ronde', 'nichole', 'tabrakk', 'terusss', 'yg', 'habis', 'tenaga', 'ronde', 'babak', 'yg', 'ngelose', 'punch', 'nya']",strategi el rumi bagus simpen tenaga ronde nichole tabrakk terusss yg habis tenaga ronde babak yg ngelose punch nya
18,@bilabongbungas2035,Wow ptarungann yg luar biasa,Positif,wow ptarungann yg luar biasa,"['wow', 'ptarungann', 'yg', 'luar', 'biasa']","['wow', 'ptarungann', 'yg']","['wow', 'ptarungann', 'yg']",wow ptarungann yg
19,@bilabongbungas2035,Spertinyaa el cerdas memakai tekhnik,Positif,spertinyaa el cerdas memakai tekhnik,"['spertinyaa', 'el', 'cerdas', 'memakai', 'tekhnik']","['spertinyaa', 'el', 'cerdas', 'memakai', 'tekhnik']","['spertinyaa', 'el', 'cerdas', 'pakai', 'tekhnik']",spertinyaa el cerdas pakai tekhnik
20,@user-bl9ig2rn5k,Acara bagus ini...terbaru bikin musim nich😊,Positif,acara bagus ini...terbaru bikin musim nich😊,"['acara', 'bagus', 'ini', '...', 'terbaru', 'bikin', 'musim', 'nich😊']","['acara', 'bagus', 'terbaru', 'bikin', 'musim']","['acara', 'bagus', 'baru', 'bikin', 'musim']",acara bagus baru bikin musim
21,@kalibatamantab8092,"Jepri berantem elah, doi mah cuma bisa skidipapap sama bokisin cabe cabean !!",Negatif,"jepri berantem elah, doi mah cuma bisa skidipapap sama bokisin cabe cabean !!","['jepri', 'berantem', 'elah', ',', 'doi', 'mah', 'cuma', 'bisa', 'skidipapap', 'sama', 'bokisin', 'cabe', 'cabean', '!', '!']","['jepri', 'berantem', 'elah', 'doi', 'mah', 'skidipapap', 'bokisin', 'cabe', 'cabean']","['jepri', 'antem', 'elah', 'doi', 'mah', 'skidipapap', 'bokisin', 'cabe', 'cabe']",jepri antem elah doi mah skidipapap bokisin cabe cabe
24,@user-ds3yd2dw9d,Saran saya.... Para artis ini klo mau tunjukin kekuatan nya.. ikuti aja pencak dor. Lebih keliatan skilnya,Positif,saran saya.... para artis ini klo mau tunjukin kekuatan nya.. ikuti aja pencak dor. lebih keliatan skilnya,"['saran', 'saya', '....', 'para', 'artis', 'ini', 'klo', 'mau', 'tunjukin', 'kekuatan', 'nya', '..', 'ikuti', 'aja', 'pencak', 'dor', '.', 'lebih', 'keliatan', 'skilnya']","['saran', 'artis', 'klo', 'tunjukin', 'kekuatan', 'nya', 'ikuti', 'aja', 'pencak', 'dor', 'keliatan', 'skilnya']","['saran', 'artis', 'klo', 'tunjukin', 'kuat', 'nya', 'ikut', 'aja', 'pencak', 'dor', 'liat', 'skilnya']",saran artis klo tunjukin kuat nya ikut aja pencak dor liat skilnya
25,@Moh.faizal,Ronde 4 jefri nocole babak belur dihajar,Negatif,ronde 4 jefri nocole babak belur dihajar,"['ronde', '4', 'jefri', 'nocole', 'babak', 'belur', 'dihajar']","['ronde', 'jefri', 'nocole', 'babak', 'belur', 'dihajar']","['ronde', 'jefri', 'nocole', 'babak', 'bur', 'hajar']",ronde jefri nocole babak bur hajar
26,@ihsannusantara,Kemenanga halu..saya ikutin semua ronde tak satu rondepun dimenangkan oleh El Rumi..,Negatif,kemenanga halu..saya ikutin semua ronde tak satu rondepun dimenangkan oleh el rumi..,"['kemenanga', 'halu', '..', 'saya', 'ikutin', 'semua', 'ronde', 'tak', 'satu', 'rondepun', 'dimenangkan', 'oleh', 'el', 'rumi', '..']","['kemenanga', 'halu', 'ikutin', 'ronde', 'rondepun', 'dimenangkan', 'el', 'rumi']","['kemenanga', 'halu', 'ikutin', 'ronde', 'ronde', 'menang', 'el', 'rumi']",kemenanga halu ikutin ronde ronde menang el rumi
28,@sampurna26purna-sl3ks,"Jeffri seharusnya menang, banyak anggota dari El jadi disuap",Negatif,"jeffri seharusnya menang, banyak anggota dari el jadi disuap","['jeffri', 'seharusnya', 'menang', ',', 'banyak', 'anggota', 'dari', 'el', 'jadi', 'disuap']","['jeffri', 'menang', 'anggota', 'el', 'disuap']","['jeffri', 'menang', 'anggota', 'el', 'suap']",jeffri menang anggota el suap
29,@savanian,Lucu lucuan anak gedongan....,Negatif,lucu lucuan anak gedongan....,"['lucu', 'lucuan', 'anak', 'gedongan', '....']","['lucu', 'lucuan', 'anak', 'gedongan']","['lucu', 'lucu', 'anak', 'gedong']",lucu lucu anak gedong
30,@isarmadina5142,nampak sekali kecurangan xa tahii,Negatif,nampak sekali kecurangan xa tahii,"['nampak', 'sekali', 'kecurangan', 'xa', 'tahii']","['nampak', 'kecurangan', 'xa', 'tahii']","['nampak', 'curang', 'xa', 'tahi']",nampak curang xa tahi
32,@tonymlong1081,"ego yang tinggi ternyata akan terjerumus kekalahan,resiko jefri sebenernyA udh bisa ko tetapi elrumi udh terllu lelah ketika jefri goyang dn menunuduk di menit terakhir kalo el rumi bisa memanfaatkan moment itu,,,ko sudah",Negatif,"ego yang tinggi ternyata akan terjerumus kekalahan,resiko jefri sebenernya udh bisa ko tetapi elrumi udh terllu lelah ketika jefri goyang dn menunuduk di menit terakhir kalo el rumi bisa memanfaatkan moment itu,,,ko sudah","['ego', 'yang', 'tinggi', 'ternyata', 'akan', 'terjerumus', 'kekalahan', ',', 'resiko', 'jefri', 'sebenernya', 'udh', 'bisa', 'ko', 'tetapi', 'elrumi', 'udh', 'terllu', 'lelah', 'ketika', 'jefri', 'goyang', 'dn', 'menunuduk', 'di', 'menit', 'terakhir', 'kalo', 'el', 'rumi', 'bisa', 'memanfaatkan', 'moment', 'itu', ',', ',', ',', 'ko', 'sudah']","['ego', 'terjerumus', 'kekalahan', 'resiko', 'jefri', 'sebenernya', 'udh', 'ko', 'elrumi', 'udh', 'terllu', 'lelah', 'jefri', 'goyang', 'dn', 'menunuduk', 'menit', 'kalo', 'el', 'rumi', 'memanfaatkan', 'moment', 'ko']","['ego', 'jerumus', 'kalah', 'resiko', 'jefri', 'sebenernya', 'udh', 'ko', 'elrumi', 'udh', 'terllu', 'lelah', 'jefri', 'goyang', 'dn', 'menunuduk', 'menit', 'kalo', 'el', 'rumi', 'manfaat', 'moment', 'ko']",ego jerumus kalah resiko jefri sebenernya udh ko elrumi udh terllu lelah jefri goyang dn menunuduk menit kalo el rumi manfaat moment ko
38,@pungkaswahyunto34,Harusnya yangvmenang jefri nikol,Negatif,harusnya yangvmenang jefri nikol,"['harusnya', 'yangvmenang', 'jefri', 'nikol']","['yangvmenang', 'jefri', 'nikol']","['yangvmenang', 'jefri', 'nikol']",yangvmenang jefri nikol
39,@Aka_Achmad,Hahahah..El rumi keok..wasit nya payah .buta,Negatif,hahahah..el rumi keok..wasit nya payah .buta,"['hahahah', '..', 'el', 'rumi', 'keok', '..', 'wasit', 'nya', 'payah', '.buta']","['hahahah', 'el', 'rumi', 'keok', 'wasit', 'nya', 'payah']","['hahahah', 'el', 'rumi', 'keok', 'wasit', 'nya', 'payah']",hahahah el rumi keok wasit nya payah
43,@user-cn8vi5hi7u,Jlas bgt el kalah hakim g adil,Negatif,jlas bgt el kalah hakim g adil,"['jlas', 'bgt', 'el', 'kalah', 'hakim', 'g', 'adil']","['jlas', 'bgt', 'el', 'kalah', 'hakim', 'g', 'adil']","['jlas', 'bgt', 'el', 'kalah', 'hakim', 'g', 'adil']",jlas bgt el kalah hakim g adil
44,@PERKONGSIANVIDEOONLINE,jn nafsu banget,Negatif,jn nafsu banget,"['jn', 'nafsu', 'banget']","['jn', 'nafsu', 'banget']","['jn', 'nafsu', 'banget']",jn nafsu banget
45,@user-bx5cz6vy4h,Sengaja kalik kalah jefry,Negatif,sengaja kalik kalah jefry,"['sengaja', 'kalik', 'kalah', 'jefry']","['sengaja', 'kalik', 'kalah', 'jefry']","['sengaja', 'kalik', 'kalah', 'jefry']",sengaja kalik kalah jefry
46,@user-tm6ir8wy4d,Dominan tarungan D bang jefri.. eh trnyata malah k balik yg menang el..hadeh,Negatif,dominan tarungan d bang jefri.. eh trnyata malah k balik yg menang el..hadeh,"['dominan', 'tarungan', 'd', 'bang', 'jefri', '..', 'eh', 'trnyata', 'malah', 'k', 'balik', 'yg', 'menang', 'el', '..', 'hadeh']","['dominan', 'tarungan', 'd', 'bang', 'jefri', 'eh', 'trnyata', 'k', 'yg', 'menang', 'el', 'hadeh']","['dominan', 'tarung', 'd', 'bang', 'jefri', 'eh', 'trnyata', 'k', 'yg', 'menang', 'el', 'hadeh']",dominan tarung d bang jefri eh trnyata k yg menang el hadeh
47,@user-wf1jj1jy4f,tinju gk jelas,Negatif,tinju gk jelas,"['tinju', 'gk', 'jelas']","['tinju', 'gk']","['tinju', 'gk']",tinju gk
49,@teguhriyadi-rq6lo,Pdhl bgus jefri mainy.tpi mlh mnang el . aneh,Negatif,pdhl bgus jefri mainy.tpi mlh mnang el . aneh,"['pdhl', 'bgus', 'jefri', 'mainy.tpi', 'mlh', 'mnang', 'el', '.', 'aneh']","['pdhl', 'bgus', 'jefri', 'mlh', 'mnang', 'el', 'aneh']","['pdhl', 'bgus', 'jefri', 'mlh', 'mnang', 'el', 'aneh']",pdhl bgus jefri mlh mnang el aneh
50,@WarnerBrosAceh-ie4lf,2 idiot sudah bertarung😂😂,Negatif,2 idiot sudah bertarung😂😂,"['2', 'idiot', 'sudah', 'bertarung😂😂']",['idiot'],['idiot'],idiot
51,@romualdusjefri9639,Lemah banget mreka dua ni....memang klo kami org timur beda yah...kami lebih kuat dari mreka,Negatif,lemah banget mreka dua ni....memang klo kami org timur beda yah...kami lebih kuat dari mreka,"['lemah', 'banget', 'mreka', 'dua', 'ni', '....', 'memang', 'klo', 'kami', 'org', 'timur', 'beda', 'yah', '...', 'kami', 'lebih', 'kuat', 'dari', 'mreka']","['lemah', 'banget', 'mreka', 'ni', 'klo', 'org', 'timur', 'beda', 'yah', 'kuat', 'mreka']","['lemah', 'banget', 'mreka', 'ni', 'klo', 'org', 'timur', 'beda', 'yah', 'kuat', 'mreka']",lemah banget mreka ni klo org timur beda yah kuat mreka
52,@Pengaranghandal5521,"Masalahnya strategi sih. Jeff nargetin round awal tp perjanjiann make pelindung kpl, lawanya El bukan haters yg gapunya basic boxing. El disiplinnya konsisten dan Jeff terlalu ambisi buat Tko",Negatif,"masalahnya strategi sih. jeff nargetin round awal tp perjanjiann make pelindung kpl, lawanya el bukan haters yg gapunya basic boxing. el disiplinnya konsisten dan jeff terlalu ambisi buat tko","['masalahnya', 'strategi', 'sih', '.', 'jeff', 'nargetin', 'round', 'awal', 'tp', 'perjanjiann', 'make', 'pelindung', 'kpl', ',', 'lawanya', 'el', 'bukan', 'haters', 'yg', 'gapunya', 'basic', 'boxing', '.', 'el', 'disiplinnya', 'konsisten', 'dan', 'jeff', 'terlalu', 'ambisi', 'buat', 'tko']","['strategi', 'sih', 'jeff', 'nargetin', 'round', 'tp', 'perjanjiann', 'make', 'pelindung', 'kpl', 'lawanya', 'el', 'haters', 'yg', 'gapunya', 'basic', 'boxing', 'el', 'disiplinnya', 'konsisten', 'jeff', 'ambisi', 'tko']","['strategi', 'sih', 'jeff', 'nargetin', 'round', 'tp', 'perjanjiann', 'make', 'lindung', 'kpl', 'lawa', 'el', 'haters', 'yg', 'gapunya', 'basic', 'boxing', 'el', 'disiplin', 'konsisten', 'jeff', 'ambisi', 'tko']",strategi sih jeff nargetin round tp perjanjiann make lindung kpl lawa el haters yg gapunya basic boxing el disiplin konsisten jeff ambisi tko
53,@user-gg3uq6xl7w,Wasit nyaa ajng,Negatif,wasit nyaa ajng,"['wasit', 'nyaa', 'ajng']","['wasit', 'nyaa', 'ajng']","['wasit', 'nyaa', 'ajng']",wasit nyaa ajng
54,@zahrakirana2933,Hahahaha habis nafas petinju sempoyongan,Negatif,hahahaha habis nafas petinju sempoyongan,"['hahahaha', 'habis', 'nafas', 'petinju', 'sempoyongan']","['hahahaha', 'habis', 'nafas', 'petinju', 'sempoyongan']","['hahahaha', 'habis', 'nafas', 'tinju', 'sempoyongan']",hahahaha habis nafas tinju sempoyongan
56,@anakitiktokwi2939,Jeffri itu kayak mau membunuh el😂😂😂😂makanya pukulannya ganas ganas😂😂😂.. Dia sesuainya jd Street fighter aja😂😂😂😂,Negatif,jeffri itu kayak mau membunuh el😂😂😂😂makanya pukulannya ganas ganas😂😂😂.. dia sesuainya jd street fighter aja😂😂😂😂,"['jeffri', 'itu', 'kayak', 'mau', 'membunuh', 'el😂😂😂😂makanya', 'pukulannya', 'ganas', 'ganas😂😂😂', '..', 'dia', 'sesuainya', 'jd', 'street', 'fighter', 'aja😂😂😂😂']","['jeffri', 'kayak', 'membunuh', 'pukulannya', 'ganas', 'sesuainya', 'jd', 'street', 'fighter']","['jeffri', 'kayak', 'bunuh', 'pukul', 'ganas', 'sesuai', 'jd', 'street', 'fighter']",jeffri kayak bunuh pukul ganas sesuai jd street fighter
58,@rogerstanley3005,Juri nya dibayar berapa sm si botak?🤔,Negatif,juri nya dibayar berapa sm si botak?🤔,"['juri', 'nya', 'dibayar', 'berapa', 'sm', 'si', 'botak', '?', '🤔']","['juri', 'nya', 'dibayar', 'sm', 'si', 'botak']","['juri', 'nya', 'bayar', 'sm', 'si', 'botak']",juri nya bayar sm si botak
59,@ujangtea5890,laki banget dh rumi,Positif,laki banget dh rumi,"['laki', 'banget', 'dh', 'rumi']","['laki', 'banget', 'dh', 'rumi']","['laki', 'banget', 'dh', 'rumi']",laki banget dh rumi
60,@nawirmunawir486,Pukulanya mirip emak2.lg hamil😂,Negatif,pukulanya mirip emak2.lg hamil😂,"['pukulanya', 'mirip', 'emak2.lg', 'hamil😂']",['pukulanya'],['pukulanya'],pukulanya
61,@moroberkah5310,"Terlalu ingin menjatuhkan elrumi,, tapi pukulan jadi ga terarah.. main kyk gitu round 3 biasanya  sdh ngos2an.. round 4 smpe akhir milik elrumi",Negatif,"terlalu ingin menjatuhkan elrumi,, tapi pukulan jadi ga terarah.. main kyk gitu round 3 biasanya  sdh ngos2an.. round 4 smpe akhir milik elrumi","['terlalu', 'ingin', 'menjatuhkan', 'elrumi', ',', ',', 'tapi', 'pukulan', 'jadi', 'ga', 'terarah', '..', 'main', 'kyk', 'gitu', 'round', '3', 'biasanya', 'sdh', 'ngos2an', '..', 'round', '4', 'smpe', 'akhir', 'milik', 'elrumi']","['menjatuhkan', 'elrumi', 'pukulan', 'ga', 'terarah', 'main', 'kyk', 'gitu', 'round', 'sdh', 'round', 'smpe', 'milik', 'elrumi']","['jatuh', 'elrumi', 'pukul', 'ga', 'arah', 'main', 'kyk', 'gitu', 'round', 'sdh', 'round', 'smpe', 'milik', 'elrumi']",jatuh elrumi pukul ga arah main kyk gitu round sdh round smpe milik elrumi
62,@tandanielwijaya3047,Curang menurut saya jefri lebih banyak memukul telak... Ga masuk akal ini permainan,Negatif,curang menurut saya jefri lebih banyak memukul telak... ga masuk akal ini permainan,"['curang', 'menurut', 'saya', 'jefri', 'lebih', 'banyak', 'memukul', 'telak', '...', 'ga', 'masuk', 'akal', 'ini', 'permainan']","['curang', 'jefri', 'memukul', 'telak', 'ga', 'masuk', 'akal', 'permainan']","['curang', 'jefri', 'pukul', 'telak', 'ga', 'masuk', 'akal', 'main']",curang jefri pukul telak ga masuk akal main
63,@hendrasuwandra991,seru Bos,Positif,seru bos,"['seru', 'bos']","['seru', 'bos']","['seru', 'bos']",seru bos
